TimeStamp, CellandDirection, BSSID, SSID, Strength
1520607709251,C14,50:0f:80:c4:5f:6d,tudelft-dastud, -68
1520607709251,C14,50:0f:80:c4:5f:60,eduroam, -67
1520607709251,C14,38:90:a5:20:f0:fe,TUvisitor, -81
1520607709251,C14,50:0f:80:c0:ce:20,eduroam, -55
1520607709251,C14,50:0f:80:fd:84:4d,tudelft-dastud, -71
1520607709251,C14,50:0f:80:c4:60:0d,tudelft-dastud, -61
1520607709251,C14,50:0f:80:fd:85:cf,eduroam, -79
1520607709251,C14,50:0f:80:d8:f3:7e,TUvisitor, -75
1520607709251,C14,50:0f:80:fd:85:01,TUvisitor, -71
1520607709251,C14,50:0f:80:c0:d6:8e,TUvisitor, -80
1520607709251,C14,e0:3f:49:09:d9:9c,TRIBLER, -91
1520607709251,C14,50:0f:80:fd:85:cd,tudelft-dastud, -79
1520607709251,C14,38:90:a5:37:46:9f,eduroam, -72
1520607709251,C14,50:0f:80:fd:7f:be,TUvisitor, -63
1520607709251,C14,38:90:a5:20:f0:fd,tudelft-dastud, -82
1520607709251,C14,50:0f:80:c0:ce:2e,TUvisitor, -48
1520607709251,C14,50:0f:80:d8:ee:0d,tudelft-dastud, -67
1520607709251,C14,50:0f:80:e3:7a:fe,TUvisitor, -77
1520607709251,C14,50:0f:80:e0:e6:de,TUvisitor, -85
1520607709251,C14,38:90:a5:20:f1:1d,tudelft-dastud, -87
1520607709251,C14,50:0f:80:c0:ce:21,TUvisitor, -54
1520607709251,C14,50:0f:80:d8:f3:70,eduroam, -69
1520607709251,C14,38:90:a5:37:46:92,tudelft-dastud, -69
1520607709251,C14,50:0f:80:d8:f4:20,eduroam, -70
1520607709251,C14,38:90:a5:37:46:9e,TUvisitor, -72
1520607709251,C14,50:0f:80:fe:3f:81,TUvisitor, -77
1520607709251,C14,50:0f:80:ee:64:fd,tudelft-dastud, -92
1520607709251,C14,38:90:a5:37:46:9d,tudelft-dastud, -73
1520607709251,C14,50:0f:80:e3:7a:ff,eduroam, -77
1520607709251,C14,50:0f:80:d8:ee:0e,TUvisitor, -67
1520607709251,C14,50:0f:80:fd:7f:b0,eduroam, -69
