TimeStamp, CellandDirection, BSSID, SSID, Strength
1520604227392,C9,38:90:a5:37:40:8d,tudelft-dastud, -46
1520604227392,C9,38:90:a5:37:42:d0,eduroam, -65
1520604227392,C9,50:0f:80:c4:5f:6d,tudelft-dastud, -85
1520604227392,C9,50:0f:80:c4:5f:6e,TUvisitor, -83
1520604227392,C9,38:90:a5:9d:0f:30,eduroam, -72
1520604227392,C9,38:90:a5:20:e9:0d,tudelft-dastud, -74
1520604227392,C9,38:90:a5:37:42:d1,TUvisitor, -65
1520604227392,C9,38:90:a5:20:f0:fe,TUvisitor, -87
1520604227392,C9,38:90:a5:37:40:8f,eduroam, -45
1520604227392,C9,38:90:a5:8c:7c:d2,tudelft-dastud, -73
1520604227392,C9,38:90:a5:37:40:80,eduroam, -49
1520604227392,C9,38:90:a5:8c:7c:d1,TUvisitor, -72
1520604227392,C9,38:90:a5:37:40:8e,TUvisitor, -45
1520604227392,C9,50:0f:80:e3:79:62,tudelft-dastud, -57
1520604227392,C9,50:0f:80:e3:79:6f,eduroam, -72
1520604227392,C9,38:90:a5:20:e9:02,tudelft-dastud, -71
1520604227392,C9,38:90:a5:37:42:df,eduroam, -72
1520604227392,C9,38:90:a5:9d:0f:31,TUvisitor, -73
1520604227392,C9,38:90:a5:9d:0f:3e,TUvisitor, -82
1520604227392,C9,38:90:a5:20:e9:00,eduroam, -71
1520604227392,C9,38:90:a5:20:e9:0e,TUvisitor, -75
1520604227392,C9,38:90:a5:9d:0f:32,tudelft-dastud, -72
1520604227392,C9,38:90:a5:20:e9:01,TUvisitor, -71
1520604227392,C9,50:0f:80:e3:79:61,TUvisitor, -57
1520604227392,C9,38:90:a5:37:42:d2,tudelft-dastud, -65
1520604227392,C9,38:90:a5:37:40:82,tudelft-dastud, -49
1520604227392,C9,50:0f:80:e3:79:60,eduroam, -57
1520604227392,C9,38:90:a5:9d:0f:3d,tudelft-dastud, -82
1520604227392,C9,38:90:a5:37:40:81,TUvisitor, -49
1520604227392,C9,38:90:a5:37:42:dd,tudelft-dastud, -72
1520604227392,C9,38:90:a5:37:42:de,TUvisitor, -71
1520604227392,C9,50:0f:80:c4:5f:6f,eduroam, -84
1520604202394,C9,38:90:a5:37:40:8d,tudelft-dastud, -44
1520604202394,C9,38:90:a5:37:42:d0,eduroam, -65
1520604202394,C9,50:0f:80:c4:5f:6d,tudelft-dastud, -86
